ano,citacoes,eixos,autores,titulo
2014,2314,"Cyb,Reg,PolInd",,The entrepreneurial state: debunking public vs. private sector myths
2004,1526,"Cyb,Reg,PolInd",Dani Rodrik,Industrial Policy for the Twenty-First Century
1980,805,"Cyb,Reg,PolInd",Maurice Snowdon,The Heart of Enterprise
1983,778,"Cyb,Reg,PolInd",Christopher C. Hood,The Tools of Government
1974,296,"Cyb,Reg,PolInd",William L. Casey; Stafford Beer,Brain of the Firm: The Managerial Cybernetics of Organization
1985,293,"Cyb,Reg,PolInd",John R. Beaumont,Diagnosing the System for Organizations
2019,289,"PolInd,Reg",Mariana Mazzucato; Rainer Kattel; Josh Ryan‐C,Challenge-Driven Innovation Policy: Towards a New Policy Toolkit
2013,267,"PolInd,Reg",Philip McCann; Raquel Ortega‐Argilés,Modern regional innovation policy
2007,233,"Cyb,Reg,PolInd",Christopher C. Hood; Helen Margetts,The Tools of Government in the Digital Age
2011,215,"Cyb,Reg,PolInd",Raúl Espejo; Alfonso Reyes,Organizational Systems
2023,133,"PolInd,Reg",Donato Di Carlo; Luuk Schmitz,Europe first? The rise of EU industrial policy promoting and protecting the sing
1957,115,"Cyb,Reg,PolInd",Anna Richards; W. Ross Ashby,An Introduction to Cybernetics
2019,111,"PolInd,Reg",Bernhard Reinsberg; Alexander Kentikelenis; T,The World System and the Hollowing Out of State Capacity: How Structural Adjustm
2023,76,"PolInd,Reg",James Meadowcroft; Daniel Rosenbloom,"Governing the net-zero transition: Strategy, policy, and politics"
2013,69,"PolInd,Reg",Ha‐Joon Chang; Antonio Andreoni; Ming Leong K,International Industrial Policy Experiences and the Lessons for the UK
