chave,openalex_id,referencia
Beer_Brain_1972,W2048086870,Beer (1972) Brain of the Firm
Beer_Heart_1979,W1566478880,Beer (1979) Heart of Enterprise
Beer_Diagnosing_1985,W2154683088,Beer (1985) Diagnosing the System
Ashby_1956,W2325487953,Ashby (1956) Intro to Cybernetics
Espejo_Walker_2011,W4244612406,Espejo & Reyes (2011) Org. Systems
Hood_1983,W1601629960,Hood (1983) Tools of Government
Hood_Margetts_2007,W2126563689,Hood & Margetts (2007) Tools Digital Age
Margetts_2024,W4386803846,Margetts (2024) Rediscovering Nodality
Rodrik_2004,W3124879925,Rodrik (2004) Industrial Policy 21C
Mazzucato_2013,W1553746973,Mazzucato (2013) Entrepreneurial State
